Objective_Type,Tuning_Profile,Controller_Type,GS_Method,Iteration,GWO_Cost
time_domain_objective,balanced,model_based,None,40,0.3830855784033847
time_domain_objective,balanced,model_based,None,41,0.3830855784033847
time_domain_objective,balanced,model_based,None,42,0.3830855784033847
time_domain_objective,balanced,model_based,None,43,0.3830855784033847
time_domain_objective,balanced,model_based,None,44,0.3830855784033847
time_domain_objective,balanced,model_based,None,45,0.3830855784033847
time_domain_objective,balanced,model_based,None,46,0.3830854977186538
time_domain_objective,balanced,model_based,None,47,0.3830854977186538
time_domain_objective,balanced,model_based,None,48,0.38308537894760586
time_domain_objective,balanced,model_based,None,49,0.38308537894760586
time_domain_objective,balanced,model_based,None,50,0.38308537894760586
time_domain_objective,balanced,model_based,step,1,0.39124473564848383
time_domain_objective,balanced,model_based,step,2,0.38398595105068284
